No,Level_1,Level_2,Level_3,Object_name,Class_name,Old_name,Color,Packaging,Features,Description,Year,Picture,최종 검토 결과,
1,Health & Medical,Wound Dressing,Adhesive Bandage,adhesive_bandages_box,obj_001,adhesive_plaster_box,white,box packaging,"""반창고"" text, red logo","A white box featuring ""반창고"" text and a red logo.",2025,,O,
2,Industrial Supplies,Air Blowing,Air Gun,air_gun,obj_002,air_blower,dark green,,"metallic texture, cylindrical shape",A dark green item with a metallic texture and cylindrical shape.,2025,,O,
3,Beauty,Skincare,Ampoule,ampoule,obj_003,ampoule,"brown, white",glass bottle,"white label, dropper included, gold cap","A brown glass bottle with a gold cap, dropper, and a white label.",2025,,O,
4,Beauty,Haircare,Shampoo,nizoral_scalp_shampoo,obj_004,anti_dandruff_shampoo,"white, brown",plastic bottle,"brown label, squeeze type","A plastic bottle with white and brown coloring, a brown label, and squeeze-type design.",2025,,O,
5,Health & Medical,External Application,Ointment,cecoron_g_cream,obj_005,anti_itch_cream,"white, yellow",tube type,"elongated, ""세코론지 크림"" text, white cap","A white and yellow tube printed with ""세코론지 크림"" text, featuring an elongated shape and a white cap.",2025,,O,
6,Health & Medical,External Application,Ointment,fucidin_wound_ointment,obj_006,antibiotic_ointment,"white, orange",tube type,"""후시딘"" text, fan-shaped logo","A white and orange tube with ""후시딘"" text and a fan-shaped logo.",2025, ,O,
7,Health & Medical,Wound Dressing,Medical Band,bandland_band_aid_box,obj_007,band_aid_box,pink,box packaging,"white text, band image included",A pink box displaying white text and an image of a band.,2025,,O,
8,Food & Beverage,Noodles,Dried Noodles,banquet_noodles_box,obj_008,banquet_noodles_box,yellow,box packaging,cartoon-style cotton illustration,A yellow box with a cartoon-style cotton illustration.,2025,,O,
9,Food & Beverage,Snacks,Butter Cookie,butter_ring_box,obj_009,butter_cookie_box,yellow,box packaging,"butter cookie image, ""버터링"" text, elongated","A yellow box featuring a butter cookie image, ""버터링"" text, and an elongated shape.",2025,,O,
10,Electronics,Calculation,Calculator,casio_electronic_calculator,obj_010,calculator,blue,,"number and symbol buttons, display included",A blue device with number and symbol buttons and a built-in display.,2025,,O,
11,Food & Beverage,Alcoholic Beverage,Canned Beer,tiger_radler_beer_can,obj_011,canned_beer,"silver, red",can,"""Tiger"" text, aluminum material, cylindrical shape","A silver and red can with ""Tiger"" text, made of aluminum and cylindrical in shape.",2025,,O,
12,Food & Beverage,Meat Products,Canned Ham,spam_can,obj_012,canned_meat,"navy, yellow",metal can,"""SPAM"" text, metallic texture","A navy and yellow metal can with ""SPAM"" text and a metallic surface.",2025,,O,
13,Industrial Supplies,Car Maintenance,Car Compound,bullsone_compound,obj_013,car_compound,"white, yellow, black",tube type,"""BULLSONE 컴파운드"" text","A tube printed with ""BULLSONE 컴파운드"" text, in white, yellow, and black tones.",2025,,O,
14,Industrial Supplies,Car Maintenance,Car Compound,bullsone_compound_box,obj_014,car_compound_box,"white, yellow, black",box packaging,"""BULLSONE 컴파운드"" text, center hole","A box in white, yellow, and black, featuring ""BULLSONE 컴파운드"" text and a center hole.",2025,,O,
15,Food & Beverage,Snacks,Caramel,milk_caramel_box,obj_015,caramel_chew_box,"orange, brown",box packaging,"""밀크카라멜"" text, caramel image","An orange and brown box with ""밀크카라멜"" text and a caramel image.",2025,,O,
16,Electronics,Power Supply,Charger,wired_fast_charger,obj_016,charger_45w,white,,"plug type, square shape",A white plug-type item with a square shape.,2025,,O,
17,Electronics,Power Supply,Charger,wired_fast_charger_box,obj_017,charger_45w_box,white,box packaging,"charger image, ""45W"" text","A white box showing a charger image and ""45W"" text.",2025,,O,
18,Beauty,Bodycare,Bath Bomb,sarang_bomb,obj_018,bath_bomb,"pink, orange",,"heart shape, soap texture, 3 colors","An item in pink and orange with a heart shape, soap-like texture, and multicolor appearance.",2025,,O,
19,Beauty,Bodycare,Bath Bomb,sarang_bomb_box,obj_019,bath_bomb_box,pink,box packaging,heart graphic,A pink box featuring a heart graphic on the front.,2025,,O,
20,Industrial Supplies,Battery,Battery,duracell_9v_battery,obj_020,battery_9v,"black, brown",,"square shape, ""DURACELL"" text","A square-shaped item in black and brown with ""DURACELL"" text.",2025,,O,
21,Electronics,Power Device,Charger,battery_charger,obj_021,battery_charger,white,,"4 battery slots, plastic material",A white plastic item with four battery slots.,2025,,O,
22,Industrial Supplies,Drive Component,Motor,bldc_motor,obj_022,bldc_motor,"silver, copper",,"small round motor, with wires","A small round motor in silver and copper colors, with attached wires.",2025,,O,
23,Health & Medical,Measurement Tool,Blood Pressure Cuff,omron_blood_pressure_cuff_box,obj_023,blood_pressure_monitor_cuff_box,"black, white",box packaging,"arm cuff image, ""OMRON"" text","A black and white box featuring an arm cuff image and ""OMRON"" text.",2025,,O,
24,Electronics,Communication Device,Bluetooth Dongle,tp_link_bluetooth_dongle_box,obj_024,bluetooth_dongle_box,"teal, navy",box packaging,"""TP-Link"" logo","A teal and navy box displaying the ""TP-Link"" logo.",2025,,O,
25,Sports & Hobby,Cheering Item,Light Stick,hanwha_light_stick,obj_025,cheering_stick,"orange, white",,"baseball bat shape, with handle",An orange and white item shaped like a baseball bat with a handle.,2025,,O,
26,Food & Beverage,Snack,Choco Bar,twix_choco_bar_box,obj_026,chocolate_bar_box,yellow,box packaging,"""Twix top"" text, chocolate illustration","A yellow box with ""Twix top"" text and a chocolate illustration.",2025,,O,
27,Food & Beverage,Snack,Chocolate,gaba_chocolate_box,obj_027,chocolate_box,"blue, white",box packaging,"candy-style chocolate image, Japanese text",A blue and white box featuring a candy-style chocolate image and Japanese text.,2025,,O,
28,General Goods,Smoking Item,Cigarette Pack,parliament_aqua_5_cigarette_pack,obj_028,cigarette_pack,"navy, white",paper packaging,"""parliament"" logo, square shape","A navy and white paper package with a square shape and ""parliament"" logo.",2025,,O,
29,Office Supplies,Fastening Tool,Clip,clothes_holding_clip,obj_029,clip,black,,"small size, hair clip shape",A small black item shaped like a hair clip.,2025,,O,
30,Food & Beverage,Juice,Coconut Drink,malee_coconut_water,obj_030,coconut_water_pack,"teal, white",pack,"""Malee coco"" text, coconut illustration","A teal and white pack with ""Malee coco"" text and a coconut illustration.",2025,,O,
31,Electronics,Audio Device,Bluetooth Speaker,jbl_go2_bluetooth_speaker,obj_031,bluetooth_speaker,brown,,"""JBL"" logo, square shape","A brown item with a square shape and the ""JBL"" logo.",2025,,O,
32,Office Supplies,Writing Tool,Whiteboard Marker,water_based_whiteboard_marker,obj_032,board_marker,"blue, silver",,"lidded cylinder shape, ""BOARD"" text","A blue and silver lidded cylinder with ""BOARD"" text.",2025,,O,
33,Sports & Hobby,Entertainment,Board Game Box,tichu_board_game_box,obj_033,boardgame_box,black,box packaging,"dragon image, ""티츄"" text","A black box with a dragon image and ""티츄"" text.",2025,,O,
34,Kitchenware,Cleaning Tool,Cup Scrubber,cup_scrubber,obj_034,bottle_sponge,white,,"stick-shaped handle, sponge material",A white stick-shaped item made of sponge material.,2025,,O,
35,Industrial Supplies,Heat Tool,Torch,viror_butane_torch,obj_035,butane_torch,"white, silver, black",,"cylindrical shape, with control button","A cylindrical item in white, silver, and black, featuring a control button.",2025,,O,
36,Food & Beverage,Snack,Butter Coconut Snack,butter_coconut_box,obj_036,butter_coconut_cookie_box,"brown, red, white",box packaging,"snack image, ""빠다코코넛"" text","A brown, red, and white box with a snack image and ""빠다코코넛"" text.",2025,,O,
37,Food & Beverage,Coffee,Capsule Coffee,carracci_capsule_coffee,obj_037,coffee_capsule,"red, silver, white",,"dome shape, aluminum cap","A red, silver, and white item with a dome shape and aluminum cap.",2025,,O,
38,Food & Beverage,Coffee,Capsule Coffee,carracci_capsule_coffee_box,obj_038,coffee_capsule_box,"black, brown, blue",box packaging,"""Carracci"" text, coffee capsule image","A black, brown, and blue box featuring ""Carracci"" text and a coffee capsule image.",2025,,O,
39,General Goods,Filter,Coffee Filter,coffee_filter_box,obj_039,coffee_filter_box,white,box packaging,"paper filter image, matte texture",A white box showing a paper filter image and matte texture.,2025,,O,
40,General Goods,Security Tool,Combination Lock,combination_lock,obj_040,combination_lock,silver,,"number dial, padlock shape",A silver item with a number dial and padlock shape.,2025,,O,
41,General Goods,Storage Item,Lens Case,contact_lens_case,obj_041,contact_lens_case,"white, blue",,"round caps on both sides, dual color",A dual-colored item in white and blue with round caps on both sides.,2025,,O,
42,Health & Medical,Sanitizing Product,Lens Solution,lens_solution,obj_042,contact_lens_solution,"white, blue",,"cylindrical plastic container, with label, integrated cap",A cylindrical plastic container in white and blue with an integrated cap and a visible label.,2025,,O,
43,Office Supplies,Writing Tool,Correction Tape,correction_tape,obj_043,correction_tape,"light_blue, white",,"transparent inside, plastic material, elongated shape",A light blue and white item made of transparent plastic with an elongated shape.,2025,,O,
44,Electronics,Mounting Tool,Wireless Charging Stand,chunsik_wireless_charging_stand,obj_044,wireless_charging_stand,"light_yellow, brown",,"Chunsik character image, smartphone stand style",A light yellow and brown item featuring a Chunsik character and designed like a smartphone stand.,2025,,O,
45,Electronics,Audio Device,Wireless Earbuds,airpods_wireless_earbuds_box,obj_045,wireless_earphone_box,white,box packaging,"earphone image, square shape",A white box with an earphone image and a square shape.,2025,,O,
